Diet,Meal,Category,Food_Item,Calories,Protein_g,Carbs_g,Fat_g
veg,Breakfast,breakfast_item,Upma 551,385,5,40,8
veg,Dinner,salad,Cucumber Salad 577,124,3,5,7
veg,Lunch,dry_veg,Mix Veg Dry 239,224,10,25,14
veg,Dinner,salad,Kachumber Salad 37,55,7,11,0
veg,Snack,beverage,Coconut Water 192,197,0,13,6
veg,Breakfast,breakfast_item,Masala Dosa 338,366,20,29,17
veg,Breakfast,breakfast_item,Aloo Paratha 653,229,16,29,16
veg,Dinner,curry,Malai Kofta 409,195,14,10,5
non-veg,Snack,snack,Boiled Egg 311,286,3,12,6
veg,Dinner,salad,Corn Salad 702,148,5,10,0
veg,Dinner,soup,Hot and Sour Soup 790,89,7,8,5
veg,Snack,snack,Dhokla 386,77,5,22,15
veg,Lunch,salad,Kachumber Salad 859,141,8,13,8
veg,Snack,beverage,Masala Chai 989,111,2,29,6
veg,Snack,beverage,Masala Chai 979,82,5,21,8
non-veg,Breakfast,breakfast_item,Scrambled Eggs 185,221,14,24,19
veg,Snack,snack,Roasted Nuts 522,198,6,6,9
veg,Snack,beverage,Lemonade 656,60,5,10,1
veg,Lunch,flatbread,Roti 952,127,3,38,1
veg,Lunch,dry_veg,Paneer Bhurji 481,207,7,24,15
non-veg,Dinner,soup,Chicken Clear Soup 193,73,4,13,4
veg,Lunch,salad,Green Salad 636,108,3,13,8
veg,Breakfast,breakfast_item,Aloo Paratha 554,384,15,56,15
veg,Breakfast,breakfast_item,Poha 694,304,16,22,5
veg,Snack,beverage,Banana Smoothie 838,50,0,35,2
veg,Dinner,flatbread,Methi Thepla 266,238,6,24,5
veg,Dinner,flatbread,Paratha 425,129,5,37,1
veg,Snack,snack,Fruit Bowl 941,174,7,18,12
veg,Lunch,flatbread,Phulka 941,199,2,30,5
veg,Dinner,salad,Chickpea Salad 263,136,1,15,6
veg,Dinner,dry_veg,Paneer Bhurji 37,103,6,20,10
veg,Breakfast,breakfast_item,Upma 723,413,18,35,18
veg,Snack,snack,Greek Yogurt 639,290,10,27,1
veg,Snack,beverage,Green Tea 572,155,4,29,3
veg,Snack,beverage,Mango Shake 64,169,0,12,0
non-veg,Breakfast,breakfast_item,Omelette 223,496,15,41,16
veg,Snack,beverage,Masala Chai 483,135,3,20,5
veg,Snack,snack,Popcorn 229,205,6,12,7
veg,Dinner,soup,Hot and Sour Soup 996,86,8,6,5
veg,Snack,beverage,Banana Smoothie 201,109,4,11,6
veg,Dinner,soup,Tomato Soup 337,99,6,5,0
veg,Snack,beverage,Banana Smoothie 854,235,4,35,3
non-veg,Lunch,curry,Egg Curry 740,277,13,16,23
veg,Lunch,beverage,Watermelon Juice 617,154,2,21,6
non-veg,Lunch,curry,Egg Curry 665,374,22,30,15
veg,Snack,snack,Protein Bar 149,239,10,15,1
veg,Lunch,rice,Khichdi 461,272,7,59,4
veg,Lunch,salad,Sprouts Salad 344,47,3,14,4
veg,Snack,snack,Popcorn 602,285,2,16,4
veg,Breakfast,beverage,Lassi 348,82,4,22,7
veg,Snack,snack,Makhana 859,265,13,8,9
veg,Breakfast,beverage,Green Tea 847,124,1,28,1
veg,Snack,beverage,Banana Smoothie 620,61,2,39,2
veg,Lunch,flatbread,Aloo Paratha 216,98,4,24,4
veg,Breakfast,breakfast_item,Veg Sandwich 296,209,12,45,7
veg,Breakfast,beverage,Banana Smoothie 951,146,4,15,6
veg,Snack,snack,Fruit Bowl 263,239,4,22,9
veg,Breakfast,beverage,Buttermilk (Chaas) 626,141,2,40,10
veg,Lunch,dry_veg,Baingan Bharta 104,147,2,11,12
veg,Breakfast,breakfast_item,Pancakes 203,340,9,29,10
veg,Breakfast,breakfast_item,Oats Porridge 150,499,5,25,9
veg,Breakfast,breakfast_item,Masala Dosa 702,241,17,23,19
veg,Breakfast,breakfast_item,Oats Porridge 515,467,14,27,17
veg,Snack,beverage,Buttermilk (Chaas) 891,135,4,31,8
veg,Dinner,soup,Sweet Corn Soup 571,119,1,7,2
veg,Lunch,beverage,Filter Coffee 496,161,3,16,6
veg,Snack,beverage,Watermelon Juice 224,165,1,26,0
veg,Lunch,salad,Fruit Salad 735,102,6,8,6
veg,Lunch,dry_veg,Paneer Bhurji 817,225,4,12,14
veg,Dinner,flatbread,Methi Thepla 147,246,3,31,7
veg,Breakfast,breakfast_item,Veg Sandwich 496,421,11,57,13
non-veg,Snack,snack,Boiled Egg 843,249,15,14,14
veg,Breakfast,breakfast_item,Upma 427,498,12,55,5
veg,Snack,beverage,Green Tea 864,158,1,25,3
veg,Breakfast,beverage,Banana Smoothie 994,226,2,35,10
veg,Snack,beverage,Banana Smoothie 693,141,4,18,10
veg,Breakfast,breakfast_item,Besan Chilla 348,370,14,52,15
veg,Dinner,curry,Palak Paneer 295,204,20,15,19
veg,Breakfast,beverage,Lemonade 267,158,1,40,1
veg,Snack,snack,Makhana 426,144,13,26,15
veg,Lunch,salad,Greek Salad 251,114,7,11,6
veg,Dinner,flatbread,Phulka 717,143,4,25,10
veg,Lunch,curry,Chana Masala 194,379,13,27,8
veg,Breakfast,breakfast_item,Muesli with Milk 648,220,14,31,11
veg,Lunch,beverage,Banana Smoothie 5,194,5,26,9
veg,Snack,beverage,Banana Smoothie 818,163,3,29,2
veg,Dinner,flatbread,Paratha 189,120,6,23,3
veg,Snack,snack,Bhel Puri 963,299,12,8,5
veg,Lunch,salad,Coleslaw 490,47,8,11,10
veg,Snack,snack,Fruit Bowl 667,162,11,16,10
veg,Snack,beverage,Masala Chai 386,155,1,11,0
veg,Breakfast,beverage,Orange Juice 83,64,1,35,3
veg,Breakfast,breakfast_item,Cheese Toast 607,441,18,30,13
veg,Lunch,rice,Peas Pulao 228,235,8,70,4
veg,Snack,beverage,Mango Shake 279,123,0,30,5
non-veg,Lunch,curry,Egg Curry 185,226,20,28,23
veg,Breakfast,breakfast_item,Oats Porridge 652,485,17,35,8
veg,Snack,snack,Makhana 587,171,13,7,0
veg,Breakfast,breakfast_item,Masala Dosa 475,380,13,30,13
veg,Snack,beverage,Banana Smoothie 509,125,4,12,6
veg,Lunch,dry_veg,Beans Poriyal 382,191,2,15,14
veg,Snack,snack,Protein Bar 13,281,13,28,8
veg,Dinner,salad,Greek Salad 168,135,7,14,10
veg,Snack,snack,Dhokla 279,146,12,14,14
veg,Snack,snack,Fruit Bowl 348,73,9,22,9
veg,Lunch,salad,Sprouts Salad 962,149,5,11,4
veg,Breakfast,beverage,Buttermilk (Chaas) 218,86,5,23,1
veg,Lunch,rice,Veg Biryani 494,200,3,44,3
veg,Breakfast,breakfast_item,Muesli with Milk 164,437,9,21,10
veg,Dinner,dry_veg,Beans Poriyal 498,232,2,24,12
veg,Snack,beverage,Banana Smoothie 884,130,5,34,8
veg,Lunch,beverage,Buttermilk (Chaas) 641,52,2,34,5
veg,Snack,beverage,Mango Shake 390,134,2,40,4
veg,Breakfast,beverage,Filter Coffee 84,228,5,22,8
veg,Lunch,dry_veg,Mix Veg Dry 487,250,8,17,8
veg,Snack,beverage,Orange Juice 945,139,3,19,0
veg,Dinner,soup,Sweet Corn Soup 651,137,7,15,1
veg,Dinner,soup,Sweet Corn Soup 154,98,8,8,1
veg,Snack,snack,Roasted Nuts 331,111,11,25,13
veg,Lunch,beverage,Mango Shake 654,122,3,40,4
veg,Lunch,beverage,Lassi 951,179,3,25,4
veg,Lunch,flatbread,Aloo Paratha 325,86,8,28,4
veg,Dinner,flatbread,Chapati 73,102,5,29,5
veg,Lunch,salad,Fruit Salad 591,34,3,10,2
veg,Dinner,curry,Palak Paneer 86,203,16,24,18
veg,Lunch,rice,Fried Rice 437,224,3,48,1
veg,Breakfast,beverage,Lemonade 97,148,3,29,9
veg,Dinner,soup,Hot and Sour Soup 426,82,2,9,1
veg,Dinner,flatbread,Aloo Paratha 314,143,4,15,6
veg,Snack,beverage,Orange Juice 414,88,2,16,4
veg,Breakfast,beverage,Orange Juice 869,120,4,38,0
veg,Lunch,beverage,Banana Smoothie 334,136,0,38,9
veg,Lunch,dry_veg,Mix Veg Dry 804,243,2,16,15
veg,Lunch,salad,Green Salad 2,77,5,14,5
veg,Lunch,salad,Green Salad 539,91,1,8,3
veg,Lunch,dry_veg,Beans Poriyal 660,195,4,24,14
veg,Snack,snack,Roasted Nuts 114,188,15,25,11
veg,Lunch,rice,Steamed Rice 59,368,8,46,6
veg,Breakfast,beverage,Banana Smoothie 221,69,2,39,3
veg,Lunch,rice,Curd Rice 24,398,5,73,8
veg,Breakfast,beverage,Buttermilk (Chaas) 910,60,4,39,3
veg,Lunch,dry_veg,Mix Veg Dry 543,169,3,25,5
veg,Breakfast,beverage,Orange Juice 969,212,0,15,5
veg,Breakfast,breakfast_item,Pancakes 621,360,9,39,20
veg,Lunch,dry_veg,Baingan Bharta 152,232,5,25,6
veg,Lunch,beverage,Green Tea 811,57,4,17,10
veg,Lunch,dry_veg,Aloo Gobi 595,244,6,17,6
non-veg,Lunch,curry,Bhuna Gosht 301,229,11,27,10
veg,Snack,beverage,Lemonade 717,175,1,37,9
veg,Snack,beverage,Buttermilk (Chaas) 85,95,1,29,1
veg,Breakfast,beverage,Masala Chai 156,192,1,33,6
veg,Lunch,dry_veg,Baingan Bharta 12,237,4,19,6
veg,Snack,beverage,Buttermilk (Chaas) 106,154,3,22,8
veg,Dinner,flatbread,Missi Roti 836,91,8,16,4
veg,Snack,beverage,Orange Juice 29,122,1,12,3
veg,Lunch,dry_veg,Paneer Bhurji 951,115,7,18,10
veg,Dinner,dry_veg,Potato Fry 960,247,6,15,12
veg,Dinner,curry,Malai Kofta 470,228,10,10,18
veg,Breakfast,breakfast_item,Upma 235,320,5,47,5
veg,Dinner,curry,Mushroom Masala 235,366,14,27,20
veg,Lunch,salad,Greek Salad 12,72,2,9,1
veg,Breakfast,breakfast_item,Muesli with Milk 758,299,11,59,6
veg,Lunch,flatbread,Missi Roti 587,197,8,27,2
veg,Breakfast,beverage,Mango Shake 875,119,0,12,9
veg,Lunch,dry_veg,Paneer Bhurji 969,173,2,21,15
veg,Lunch,salad,Kachumber Salad 308,124,8,12,4
veg,Breakfast,beverage,Filter Coffee 44,116,2,21,0
veg,Lunch,dry_veg,Baingan Bharta 679,227,6,10,9
veg,Breakfast,breakfast_item,Muesli with Milk 412,247,10,38,13
veg,Snack,snack,Roasted Nuts 207,177,6,22,12
veg,Snack,beverage,Green Tea 571,77,0,15,7
veg,Breakfast,beverage,Coconut Water 93,52,3,27,7
veg,Breakfast,breakfast_item,Veg Sandwich 431,283,20,50,19
veg,Dinner,curry,Dal Tadka 786,170,7,14,24
veg,Dinner,flatbread,Kulcha 765,198,3,31,7
veg,Breakfast,beverage,Mango Shake 858,156,3,18,2
veg,Lunch,salad,Greek Salad 180,76,6,10,2
veg,Lunch,beverage,Banana Smoothie 308,174,5,15,9
veg,Lunch,dry_veg,Beans Poriyal 519,110,2,17,10
veg,Lunch,flatbread,Chapati 953,153,2,15,3
veg,Dinner,salad,Green Salad 736,59,5,13,0
veg,Dinner,flatbread,Aloo Paratha 580,181,8,38,5
veg,Dinner,salad,Chickpea Salad 602,103,6,14,3
veg,Snack,snack,Protein Bar 22,147,13,13,1
veg,Dinner,dry_veg,Mix Veg Dry 450,173,10,15,13
veg,Lunch,rice,Jeera Rice 842,257,8,48,8
veg,Dinner,flatbread,Missi Roti 246,124,3,35,2
veg,Snack,snack,Fruit Bowl 20,280,7,7,4
veg,Snack,snack,Bhel Puri 212,275,7,24,0
veg,Snack,snack,Dhokla 222,116,5,23,11
veg,Breakfast,breakfast_item,Cheese Toast 606,301,12,30,6
veg,Dinner,curry,Malai Kofta 509,281,21,26,22
non-veg,Lunch,curry,Egg Curry 165,341,15,12,15
veg,Dinner,curry,Mushroom Masala 276,381,7,29,11
veg,Breakfast,beverage,Masala Chai 576,105,3,18,3
non-veg,Dinner,curry,Fish Curry 562,378,8,14,17
veg,Dinner,dry_veg,Aloo Gobi 295,174,5,20,10
veg,Snack,snack,Popcorn 589,112,4,16,8
non-veg,Dinner,curry,Fish Curry 15,296,13,22,18
veg,Lunch,beverage,Masala Chai 832,190,2,38,0
veg,Breakfast,beverage,Green Tea 198,148,3,24,4
veg,Breakfast,beverage,Watermelon Juice 523,56,3,25,6
non-veg,Dinner,soup,Chicken Clear Soup 717,117,5,15,4
veg,Breakfast,beverage,Banana Smoothie 638,195,5,39,7
veg,Lunch,curry,Palak Paneer 151,212,16,17,18
veg,Breakfast,beverage,Banana Smoothie 923,159,4,39,0
veg,Snack,snack,Protein Bar 116,158,14,26,9
veg,Dinner,salad,Sprouts Salad 574,123,8,15,7
non-veg,Breakfast,breakfast_item,Omelette 223,477,8,27,13
non-veg,Dinner,curry,Bhuna Gosht 211,232,12,30,25
veg,Lunch,dry_veg,Cabbage Sabzi 734,234,3,16,14
veg,Lunch,beverage,Coconut Water 609,101,5,11,0
veg,Breakfast,beverage,Coconut Water 833,156,1,21,2
veg,Dinner,flatbread,Bhatura 687,97,4,35,1
veg,Breakfast,breakfast_item,Puri Bhaji 33,406,9,59,16
veg,Snack,beverage,Banana Smoothie 37,67,5,22,4
veg,Breakfast,beverage,Buttermilk (Chaas) 246,185,3,25,6
veg,Breakfast,breakfast_item,Muesli with Milk 991,500,13,52,18
veg,Snack,snack,Protein Bar 744,157,6,29,13
veg,Snack,snack,Dhokla 190,88,8,17,6
non-veg,Lunch,rice,Chicken Biryani 882,220,6,60,7
non-veg,Lunch,curry,Fish Curry 306,373,9,12,21
veg,Lunch,flatbread,Aloo Paratha 471,199,2,29,3
veg,Snack,beverage,Watermelon Juice 426,98,3,14,6
veg,Breakfast,beverage,Masala Chai 745,223,1,36,10
veg,Breakfast,beverage,Watermelon Juice 587,188,0,20,4
veg,Breakfast,beverage,Watermelon Juice 982,75,1,20,0
veg,Dinner,soup,Clear Veg Soup 478,112,4,7,2
veg,Snack,beverage,Lemonade 667,250,2,32,0
veg,Dinner,soup,Tomato Soup 82,64,2,9,3
veg,Breakfast,beverage,Filter Coffee 27,97,0,19,4
veg,Dinner,curry,Paneer Butter Masala 719,334,13,27,5
veg,Dinner,curry,Paneer Butter Masala 151,172,12,14,10
veg,Breakfast,breakfast_item,Aloo Paratha 447,256,7,40,15
veg,Breakfast,beverage,Banana Smoothie 395,93,5,26,8
veg,Dinner,flatbread,Methi Thepla 836,243,2,23,2
veg,Dinner,curry,Chana Masala 972,305,9,26,24
veg,Lunch,dry_veg,Bhindi Fry 417,218,6,19,5
non-veg,Dinner,curry,Bhuna Gosht 838,176,19,29,25
non-veg,Breakfast,breakfast_item,Scrambled Eggs 76,488,9,52,15
veg,Snack,beverage,Filter Coffee 334,117,3,13,5
non-veg,Snack,snack,Boiled Egg 807,229,10,8,7
veg,Breakfast,beverage,Filter Coffee 561,222,1,12,1
veg,Breakfast,breakfast_item,Masala Dosa 118,443,18,46,12
veg,Snack,snack,Makhana 853,216,3,6,9
veg,Snack,beverage,Masala Chai 692,208,0,24,3
veg,Lunch,curry,Malai Kofta 761,181,23,22,5
veg,Lunch,salad,Kachumber Salad 265,111,6,11,0
veg,Dinner,flatbread,Kulcha 956,214,8,31,10
veg,Breakfast,breakfast_item,Idli Sambar 772,371,13,38,20
veg,Breakfast,beverage,Banana Smoothie 124,191,4,38,2
veg,Dinner,soup,Pumpkin Soup 235,105,5,13,4
veg,Lunch,flatbread,Butter Naan 747,176,7,20,9
veg,Lunch,beverage,Mango Shake 416,200,1,40,9
veg,Breakfast,beverage,Banana Smoothie 106,146,4,11,1
veg,Snack,snack,Roasted Nuts 709,61,2,13,15
veg,Dinner,dry_veg,Potato Fry 8,159,2,13,15
veg,Lunch,beverage,Watermelon Juice 533,205,2,30,8
veg,Lunch,beverage,Banana Smoothie 411,109,3,25,8
veg,Breakfast,beverage,Coconut Water 943,167,1,29,7
veg,Breakfast,beverage,Filter Coffee 533,204,2,38,9
veg,Snack,snack,Protein Bar 761,96,13,9,15
veg,Snack,beverage,Green Tea 263,92,4,27,0
veg,Lunch,salad,Fruit Salad 299,92,2,12,8
veg,Lunch,flatbread,Bhatura 87,200,4,16,6
veg,Breakfast,beverage,Lemonade 72,133,5,39,0
veg,Snack,snack,Roasted Nuts 457,257,12,30,13
veg,Dinner,curry,Sambar 676,238,5,11,10
veg,Breakfast,breakfast_item,Pancakes 177,462,18,52,9
veg,Lunch,beverage,Green Tea 317,143,1,11,4
veg,Breakfast,beverage,Green Tea 469,86,4,34,5
veg,Snack,beverage,Mango Shake 690,162,2,36,10
veg,Breakfast,breakfast_item,Puri Bhaji 707,355,12,49,5
veg,Dinner,dry_veg,Bhindi Fry 421,166,2,18,7
veg,Breakfast,beverage,Lassi 230,85,3,22,2
veg,Dinner,dry_veg,Aloo Gobi 44,250,4,14,11
veg,Breakfast,breakfast_item,Upma 801,328,17,34,16
veg,Breakfast,breakfast_item,Besan Chilla 799,456,9,32,6
veg,Dinner,dry_veg,Aloo Gobi 269,110,7,10,9
veg,Breakfast,breakfast_item,Poha 233,249,19,21,15
veg,Breakfast,breakfast_item,Upma 323,419,13,52,20
veg,Breakfast,beverage,Coconut Water 138,112,4,36,2
veg,Lunch,rice,Khichdi 510,285,4,66,2
veg,Lunch,curry,Sambar 888,174,20,10,16
veg,Breakfast,beverage,Lassi 612,53,0,32,7
veg,Dinner,curry,Malai Kofta 129,168,11,22,12
veg,Breakfast,breakfast_item,Upma 691,487,6,27,8
veg,Lunch,rice,Jeera Rice 208,236,3,77,5
veg,Snack,beverage,Banana Smoothie 530,88,4,32,1
veg,Dinner,salad,Cucumber Salad 438,33,6,6,0
non-veg,Snack,snack,Boiled Egg 950,91,14,8,13
veg,Lunch,salad,Cucumber Salad 951,127,4,11,6
veg,Breakfast,breakfast_item,Upma 604,278,17,39,19
veg,Snack,snack,Roasted Nuts 688,86,9,17,2
non-veg,Breakfast,breakfast_item,Omelette 437,203,11,45,14
non-veg,Breakfast,breakfast_item,Scrambled Eggs 9,393,5,60,18
veg,Dinner,flatbread,Bhatura 784,95,3,27,1
veg,Breakfast,beverage,Lassi 677,118,1,16,5
veg,Breakfast,breakfast_item,Muesli with Milk 644,468,12,48,10
veg,Snack,snack,Greek Yogurt 28,231,9,27,4
veg,Dinner,flatbread,Kulcha 453,164,2,38,5
veg,Snack,snack,Fruit Bowl 278,110,4,10,3
veg,Lunch,curry,Malai Kofta 780,197,21,12,21
veg,Breakfast,beverage,Watermelon Juice 199,71,4,19,1
veg,Dinner,dry_veg,Potato Fry 871,161,10,14,10
veg,Dinner,salad,Coleslaw 425,90,3,15,4
veg,Dinner,dry_veg,Mix Veg Dry 682,193,4,11,11
veg,Lunch,rice,Ghee Rice 966,351,6,78,6
veg,Snack,beverage,Watermelon Juice 351,100,3,23,0
non-veg,Dinner,curry,Butter Chicken 40,236,25,12,24
veg,Breakfast,breakfast_item,Besan Chilla 521,284,17,57,7
veg,Breakfast,breakfast_item,Pancakes 877,233,9,28,10
veg,Breakfast,breakfast_item,Pancakes 601,278,8,21,11
veg,Snack,beverage,Lemonade 905,231,5,40,8
veg,Snack,snack,Bhel Puri 251,150,14,19,7
veg,Dinner,soup,Sweet Corn Soup 565,110,4,12,2
veg,Lunch,rice,Peas Pulao 805,272,5,67,1
veg,Lunch,beverage,Banana Smoothie 445,249,5,26,5
veg,Lunch,rice,Peas Pulao 257,342,8,79,1
veg,Breakfast,breakfast_item,Cheese Toast 872,221,17,30,6
veg,Breakfast,breakfast_item,Pancakes 200,346,16,46,18
veg,Breakfast,breakfast_item,Oats Porridge 713,321,17,50,13
veg,Dinner,soup,Clear Veg Soup 56,53,5,9,2
veg,Snack,beverage,Masala Chai 334,174,4,18,0
veg,Dinner,flatbread,Kulcha 982,201,6,24,6
veg,Dinner,flatbread,Phulka 480,118,4,36,5
veg,Breakfast,beverage,Green Tea 371,232,0,32,7
veg,Breakfast,beverage,Coconut Water 560,171,3,26,5
veg,Breakfast,breakfast_item,Muesli with Milk 471,312,12,42,13
veg,Snack,beverage,Filter Coffee 281,112,2,10,3
veg,Lunch,flatbread,Paratha 2,163,7,22,9
veg,Breakfast,beverage,Lassi 512,229,3,19,2
veg,Breakfast,breakfast_item,Muesli with Milk 443,288,11,54,14
veg,Lunch,curry,Paneer Butter Masala 967,275,8,17,5
veg,Dinner,curry,Chana Masala 155,169,15,17,5
veg,Snack,snack,Fruit Bowl 831,191,7,8,14
veg,Snack,snack,Protein Bar 921,210,8,24,1
non-veg,Dinner,curry,Egg Curry 394,168,13,10,25
veg,Dinner,flatbread,Kulcha 532,236,8,18,9
veg,Snack,beverage,Coconut Water 479,121,0,27,5
veg,Snack,beverage,Banana Smoothie 252,196,2,17,8
veg,Lunch,dry_veg,Paneer Bhurji 615,219,6,12,6
veg,Dinner,curry,Mixed Vegetable Curry 301,239,5,10,16
non-veg,Breakfast,breakfast_item,Omelette 42,478,17,22,13
veg,Breakfast,breakfast_item,Masala Dosa 67,300,20,29,19
veg,Snack,snack,Bhel Puri 593,278,9,11,10
veg,Breakfast,beverage,Watermelon Juice 999,171,5,36,4
veg,Dinner,flatbread,Phulka 686,219,5,31,8
veg,Dinner,flatbread,Aloo Paratha 541,162,7,37,1
veg,Lunch,flatbread,Phulka 793,153,6,27,9
veg,Lunch,salad,Kachumber Salad 224,35,8,9,2
veg,Breakfast,breakfast_item,Poha 64,395,14,20,19
veg,Lunch,beverage,Coconut Water 173,231,0,15,1
veg,Breakfast,beverage,Buttermilk (Chaas) 122,204,2,32,1
veg,Dinner,soup,Sweet Corn Soup 845,71,7,15,2
veg,Breakfast,breakfast_item,Aloo Paratha 783,244,18,30,11
veg,Dinner,salad,Green Salad 954,97,7,15,0
veg,Breakfast,breakfast_item,Oats Porridge 406,246,19,29,5
veg,Breakfast,beverage,Coconut Water 510,51,2,33,4
non-veg,Breakfast,breakfast_item,Omelette 881,379,13,51,14
veg,Snack,beverage,Banana Smoothie 19,116,0,23,0
veg,Breakfast,beverage,Lassi 575,161,3,17,4
veg,Snack,beverage,Lassi 560,222,1,28,4
veg,Snack,beverage,Orange Juice 227,180,3,28,7
veg,Snack,snack,Roasted Nuts 4,166,5,19,3
non-veg,Lunch,rice,Chicken Biryani 845,264,5,80,9
veg,Dinner,dry_veg,Potato Fry 414,233,2,19,11
veg,Lunch,curry,Paneer Butter Masala 107,186,22,17,12
veg,Breakfast,beverage,Green Tea 23,65,0,24,8
veg,Lunch,beverage,Buttermilk (Chaas) 434,183,1,33,7
veg,Breakfast,beverage,Buttermilk (Chaas) 999,136,5,40,4
non-veg,Dinner,soup,Chicken Clear Soup 921,149,7,15,5
non-veg,Dinner,soup,Chicken Clear Soup 964,79,7,10,5
veg,Dinner,salad,Kachumber Salad 444,131,5,10,4
veg,Lunch,curry,Sambar 415,175,17,24,24
veg,Dinner,curry,Paneer Butter Masala 217,213,23,14,7
veg,Dinner,dry_veg,Cabbage Sabzi 44,193,3,17,6
veg,Breakfast,breakfast_item,Upma 827,349,17,36,15
veg,Breakfast,beverage,Orange Juice 733,162,5,29,7
veg,Breakfast,beverage,Banana Smoothie 235,178,3,17,10
veg,Dinner,dry_veg,Mix Veg Dry 297,111,10,22,10
veg,Dinner,salad,Greek Salad 314,32,5,8,3
veg,Breakfast,beverage,Lemonade 619,90,0,21,7
non-veg,Snack,snack,Boiled Egg 117,290,9,9,10
veg,Snack,beverage,Lassi 277,122,3,31,8
veg,Dinner,salad,Corn Salad 622,145,2,13,10
